id,name,category,format,has_elicitation,file_path,status
add-mcp,Add Mcp,general,TASK-FORMAT-V1,true,.aios-core/development/tasks/add-mcp.md,active
advanced-elicitation,Advanced Elicitation,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/advanced-elicitation.md,active
analyst-facilitate-brainstorming,Analyst Facilitate Brainstorming,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/analyst-facilitate-brainstorming.md,active
analyze-framework,Analyze Framework,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/analyze-framework.md,active
analyze-performance,Analyze Performance,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/analyze-performance.md,active
apply-qa-fixes,Apply Qa Fixes,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/apply-qa-fixes.md,active
architect-analyze-impact,Architect Analyze Impact,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/architect-analyze-impact.md,active
audit-codebase,Audit Codebase,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/audit-codebase.md,active
audit-tailwind-config,Audit Tailwind Config,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/audit-tailwind-config.md,active
audit-utilities,Audit Utilities,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/audit-utilities.md,active
bootstrap-shadcn-library,Bootstrap Shadcn Library,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/bootstrap-shadcn-library.md,active
brownfield-create-epic,Brownfield Create Epic,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/brownfield-create-epic.md,active
brownfield-create-story,Brownfield Create Story,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/brownfield-create-story.md,active
build-component,Build Component,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/build-component.md,active
calculate-roi,Calculate Roi,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/calculate-roi.md,active
ci-cd-configuration,Ci Cd Configuration,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/ci-cd-configuration.md,active
cleanup-utilities,Cleanup Utilities,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/cleanup-utilities.md,active
collaborative-edit,Collaborative Edit,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/collaborative-edit.md,active
compose-molecule,Compose Molecule,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/compose-molecule.md,active
consolidate-patterns,Consolidate Patterns,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/consolidate-patterns.md,active
correct-course,Correct Course,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/correct-course.md,active
create-agent,Create Agent,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/create-agent.md,active
create-brownfield-story,Create Brownfield Story,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/create-brownfield-story.md,active
create-deep-research-prompt,Create Deep Research Prompt,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/create-deep-research-prompt.md,active
create-doc,Create Doc,general,TASK-FORMAT-V1,true,.aios-core/development/tasks/create-doc.md,active
create-next-story,Create Next Story,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/create-next-story.md,active
create-suite,Create Suite,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/create-suite.md,active
create-task,Create Task,general,TASK-FORMAT-V1,true,.aios-core/development/tasks/create-task.md,active
create-workflow,Create Workflow,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/create-workflow.md,active
db-analyze-hotpaths,Db Analyze Hotpaths,database,TASK-FORMAT-V1,false,.aios-core/development/tasks/db-analyze-hotpaths.md,active
db-apply-migration,Db Apply Migration,database,TASK-FORMAT-V1,false,.aios-core/development/tasks/db-apply-migration.md,active
db-bootstrap,Db Bootstrap,database,TASK-FORMAT-V1,false,.aios-core/development/tasks/db-bootstrap.md,active
db-domain-modeling,Db Domain Modeling,database,TASK-FORMAT-V1,false,.aios-core/development/tasks/db-domain-modeling.md,active
db-dry-run,Db Dry Run,database,TASK-FORMAT-V1,false,.aios-core/development/tasks/db-dry-run.md,active
db-env-check,Db Env Check,database,TASK-FORMAT-V1,false,.aios-core/development/tasks/db-env-check.md,active
db-expansion-pack-integration,Db Expansion Pack Integration,database,TASK-FORMAT-V1,false,.aios-core/development/tasks/db-expansion-pack-integration.md,active
db-explain,Db Explain,database,TASK-FORMAT-V1,false,.aios-core/development/tasks/db-explain.md,active
db-impersonate,Db Impersonate,database,TASK-FORMAT-V1,false,.aios-core/development/tasks/db-impersonate.md,active
db-load-csv,Db Load Csv,database,TASK-FORMAT-V1,false,.aios-core/development/tasks/db-load-csv.md,active
db-policy-apply,Db Policy Apply,database,TASK-FORMAT-V1,false,.aios-core/development/tasks/db-policy-apply.md,active
db-rls-audit,Db Rls Audit,database,TASK-FORMAT-V1,false,.aios-core/development/tasks/db-rls-audit.md,active
db-rollback,Db Rollback,database,TASK-FORMAT-V1,false,.aios-core/development/tasks/db-rollback.md,active
db-run-sql,Db Run Sql,database,TASK-FORMAT-V1,false,.aios-core/development/tasks/db-run-sql.md,active
db-schema-audit,Db Schema Audit,database,TASK-FORMAT-V1,false,.aios-core/development/tasks/db-schema-audit.md,active
db-seed,Db Seed,database,TASK-FORMAT-V1,false,.aios-core/development/tasks/db-seed.md,active
db-smoke-test,Db Smoke Test,database,TASK-FORMAT-V1,false,.aios-core/development/tasks/db-smoke-test.md,active
db-snapshot,Db Snapshot,database,TASK-FORMAT-V1,false,.aios-core/development/tasks/db-snapshot.md,active
db-supabase-setup,Db Supabase Setup,database,TASK-FORMAT-V1,false,.aios-core/development/tasks/db-supabase-setup.md,active
db-verify-order,Db Verify Order,database,TASK-FORMAT-V1,false,.aios-core/development/tasks/db-verify-order.md,active
deprecate-component,Deprecate Component,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/deprecate-component.md,active
dev-apply-qa-fixes,Dev Apply Qa Fixes,development,TASK-FORMAT-V1,false,.aios-core/development/tasks/dev-apply-qa-fixes.md,active
dev-backlog-debt,Dev Backlog Debt,development,TASK-FORMAT-V1,true,.aios-core/development/tasks/dev-backlog-debt.md,active
dev-develop-story,Dev Develop Story,development,TASK-FORMAT-V1,false,.aios-core/development/tasks/dev-develop-story.md,active
dev-improve-code-quality,Dev Improve Code Quality,development,TASK-FORMAT-V1,false,.aios-core/development/tasks/dev-improve-code-quality.md,active
dev-optimize-performance,Dev Optimize Performance,development,TASK-FORMAT-V1,false,.aios-core/development/tasks/dev-optimize-performance.md,active
dev-suggest-refactoring,Dev Suggest Refactoring,development,TASK-FORMAT-V1,false,.aios-core/development/tasks/dev-suggest-refactoring.md,active
dev-validate-next-story,Dev Validate Next Story,development,TASK-FORMAT-V1,false,.aios-core/development/tasks/dev-validate-next-story.md,active
document-project,Document Project,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/document-project.md,active
environment-bootstrap,Environment Bootstrap,general,TASK-FORMAT-V1,true,.aios-core/development/tasks/environment-bootstrap.md,active
execute-checklist,Execute Checklist,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/execute-checklist.md,active
export-design-tokens-dtcg,Export Design Tokens Dtcg,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/export-design-tokens-dtcg.md,active
extend-pattern,Extend Pattern,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/extend-pattern.md,active
extract-tokens,Extract Tokens,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/extract-tokens.md,active
facilitate-brainstorming-session,Facilitate Brainstorming Session,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/facilitate-brainstorming-session.md,active
generate-ai-frontend-prompt,Generate Ai Frontend Prompt,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/generate-ai-frontend-prompt.md,active
generate-documentation,Generate Documentation,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/generate-documentation.md,active
generate-migration-strategy,Generate Migration Strategy,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/generate-migration-strategy.md,active
generate-shock-report,Generate Shock Report,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/generate-shock-report.md,active
github-devops-github-pr-automation,Github Devops Github Pr Automation,devops,TASK-FORMAT-V1,false,.aios-core/development/tasks/github-devops-github-pr-automation.md,active
github-devops-pre-push-quality-gate,Github Devops Pre Push Quality Gate,devops,TASK-FORMAT-V1,false,.aios-core/development/tasks/github-devops-pre-push-quality-gate.md,active
github-devops-repository-cleanup,Github Devops Repository Cleanup,devops,TASK-FORMAT-V1,false,.aios-core/development/tasks/github-devops-repository-cleanup.md,active
github-devops-version-management,Github Devops Version Management,devops,TASK-FORMAT-V1,false,.aios-core/development/tasks/github-devops-version-management.md,active
improve-self,Improve Self,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/improve-self.md,active
index-docs,Index Docs,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/index-docs.md,active
init-project-status,Init Project Status,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/init-project-status.md,active
integrate-expansion-pack,Integrate Expansion Pack,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/integrate-expansion-pack.md,active
kb-mode-interaction,Kb Mode Interaction,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/kb-mode-interaction.md,active
learn-patterns,Learn Patterns,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/learn-patterns.md,active
mcp-workflow,Mcp Workflow,general,TASK-FORMAT-V1,true,.aios-core/development/tasks/mcp-workflow.md,active
modify-agent,Modify Agent,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/modify-agent.md,active
modify-task,Modify Task,general,TASK-FORMAT-V1,true,.aios-core/development/tasks/modify-task.md,active
modify-workflow,Modify Workflow,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/modify-workflow.md,active
po-backlog-add,Po Backlog Add,product,TASK-FORMAT-V1,true,.aios-core/development/tasks/po-backlog-add.md,active
po-manage-story-backlog,Po Manage Story Backlog,product,TASK-FORMAT-V1,false,.aios-core/development/tasks/po-manage-story-backlog.md,active
po-pull-story-from-clickup,Po Pull Story From Clickup,product,TASK-FORMAT-V1,false,.aios-core/development/tasks/po-pull-story-from-clickup.md,active
po-pull-story,Po Pull Story,product,TASK-FORMAT-V1,false,.aios-core/development/tasks/po-pull-story.md,active
po-stories-index,Po Stories Index,product,TASK-FORMAT-V1,true,.aios-core/development/tasks/po-stories-index.md,active
po-sync-story-to-clickup,Po Sync Story To Clickup,product,TASK-FORMAT-V1,false,.aios-core/development/tasks/po-sync-story-to-clickup.md,active
po-sync-story,Po Sync Story,product,TASK-FORMAT-V1,false,.aios-core/development/tasks/po-sync-story.md,active
pr-automation,Pr Automation,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/pr-automation.md,active
propose-modification,Propose Modification,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/propose-modification.md,active
qa-backlog-add-followup,Qa Backlog Add Followup,quality,TASK-FORMAT-V1,true,.aios-core/development/tasks/qa-backlog-add-followup.md,active
qa-gate,Qa Gate,quality,TASK-FORMAT-V1,false,.aios-core/development/tasks/qa-gate.md,active
qa-generate-tests,Qa Generate Tests,quality,TASK-FORMAT-V1,false,.aios-core/development/tasks/qa-generate-tests.md,active
qa-nfr-assess,Qa Nfr Assess,quality,TASK-FORMAT-V1,false,.aios-core/development/tasks/qa-nfr-assess.md,active
qa-review-proposal,Qa Review Proposal,quality,TASK-FORMAT-V1,false,.aios-core/development/tasks/qa-review-proposal.md,active
qa-review-story,Qa Review Story,quality,TASK-FORMAT-V1,false,.aios-core/development/tasks/qa-review-story.md,active
qa-risk-profile,Qa Risk Profile,quality,TASK-FORMAT-V1,false,.aios-core/development/tasks/qa-risk-profile.md,active
qa-run-tests,Qa Run Tests,quality,TASK-FORMAT-V1,false,.aios-core/development/tasks/qa-run-tests.md,active
qa-test-design,Qa Test Design,quality,TASK-FORMAT-V1,false,.aios-core/development/tasks/qa-test-design.md,active
qa-trace-requirements,Qa Trace Requirements,quality,TASK-FORMAT-V1,false,.aios-core/development/tasks/qa-trace-requirements.md,active
release-management,Release Management,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/release-management.md,active
security-audit,Security Audit,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/security-audit.md,active
security-scan,Security Scan,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/security-scan.md,active
setup-database,Setup Database,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/setup-database.md,active
setup-design-system,Setup Design System,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/setup-design-system.md,active
setup-github,Setup Github,general,TASK-FORMAT-V1,true,.aios-core/development/tasks/setup-github.md,active
setup-mcp-docker,Setup Mcp Docker,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/setup-mcp-docker.md,active
shard-doc,Shard Doc,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/shard-doc.md,active
sm-create-next-story,Sm Create Next Story,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/sm-create-next-story.md,active
sync-documentation,Sync Documentation,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/sync-documentation.md,active
tailwind-upgrade,Tailwind Upgrade,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/tailwind-upgrade.md,active
test-as-user,Test As User,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/test-as-user.md,active
test-validation-task,Test Validation Task,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/test-validation-task.md,active
undo-last,Undo Last,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/undo-last.md,active
update-manifest,Update Manifest,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/update-manifest.md,active
ux-create-wireframe,Ux Create Wireframe,general,TASK-FORMAT-V1,true,.aios-core/development/tasks/ux-create-wireframe.md,active
ux-ds-scan-artifact,Ux Ds Scan Artifact,general,TASK-FORMAT-V1,true,.aios-core/development/tasks/ux-ds-scan-artifact.md,active
ux-user-research,Ux User Research,general,TASK-FORMAT-V1,true,.aios-core/development/tasks/ux-user-research.md,active
validate-next-story,Validate Next Story,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/validate-next-story.md,active
